x,y,model,estimate,model_new
0.23809523809523808,0.8690476190476191,Elastic net,0.914,Elastic net (0.914)
0.23809523809523808,0.8809523809523809,Elastic net,0.914,Elastic net (0.914)
0.2857142857142857,0.8809523809523809,Elastic net,0.914,Elastic net (0.914)
0.2857142857142857,0.8928571428571429,Elastic net,0.914,Elastic net (0.914)
0.3333333333333333,0.8928571428571429,Elastic net,0.914,Elastic net (0.914)
0.3333333333333333,0.9047619047619048,Elastic net,0.914,Elastic net (0.914)
0.38095238095238093,0.9047619047619048,Elastic net,0.914,Elastic net (0.914)
0.42857142857142855,0.9047619047619048,Elastic net,0.914,Elastic net (0.914)
0.42857142857142855,0.9166666666666666,Elastic net,0.914,Elastic net (0.914)
0.47619047619047616,0.9166666666666666,Elastic net,0.914,Elastic net (0.914)
0.47619047619047616,0.9285714285714286,Elastic net,0.914,Elastic net (0.914)
0.5238095238095238,0.9285714285714286,Elastic net,0.914,Elastic net (0.914)
0.5238095238095238,0.9404761904761905,Elastic net,0.914,Elastic net (0.914)
0.5714285714285714,0.9404761904761905,Elastic net,0.914,Elastic net (0.914)
0.6190476190476191,0.9404761904761905,Elastic net,0.914,Elastic net (0.914)
0.6190476190476191,0.9523809523809523,Elastic net,0.914,Elastic net (0.914)
0.6666666666666666,0.9523809523809523,Elastic net,0.914,Elastic net (0.914)
0.6666666666666666,0.9642857142857143,Elastic net,0.914,Elastic net (0.914)
0.6666666666666666,0.9761904761904762,Elastic net,0.914,Elastic net (0.914)
0.7142857142857143,0.9761904761904762,Elastic net,0.914,Elastic net (0.914)
0.7619047619047619,0.9761904761904762,Elastic net,0.914,Elastic net (0.914)
0.7619047619047619,0.9880952380952381,Elastic net,0.914,Elastic net (0.914)
0.7619047619047619,1,Elastic net,0.914,Elastic net (0.914)
0.8095238095238095,1,Elastic net,0.914,Elastic net (0.914)
0.8571428571428571,1,Elastic net,0.914,Elastic net (0.914)
0.9047619047619048,1,Elastic net,0.914,Elastic net (0.914)
0.9523809523809523,1,Elastic net,0.914,Elastic net (0.914)
1,1,Elastic net,0.914,Elastic net (0.914)
0,0,Gradient boosting,0.916,Gradient boosting (0.916)
0,0.011904761904761904,Gradient boosting,0.916,Gradient boosting (0.916)
0,0.023809523809523808,Gradient boosting,0.916,Gradient boosting (0.916)
0,0.03571428571428571,Gradient boosting,0.916,Gradient boosting (0.916)
0,0.047619047619047616,Gradient boosting,0.916,Gradient boosting (0.916)
0,0.05952380952380952,Gradient boosting,0.916,Gradient boosting (0.916)
0,0.07142857142857142,Gradient boosting,0.916,Gradient boosting (0.916)
0,0.08333333333333333,Gradient boosting,0.916,Gradient boosting (0.916)
0,0.09523809523809523,Gradient boosting,0.916,Gradient boosting (0.916)
0,0.10714285714285714,Gradient boosting,0.916,Gradient boosting (0.916)
0,0.11904761904761904,Gradient boosting,0.916,Gradient boosting (0.916)
0,0.13095238095238096,Gradient boosting,0.916,Gradient boosting (0.916)
0,0.14285714285714285,Gradient boosting,0.916,Gradient boosting (0.916)
0,0.15476190476190477,Gradient boosting,0.916,Gradient boosting (0.916)
0,0.16666666666666666,Gradient boosting,0.916,Gradient boosting (0.916)
0,0.17857142857142858,Gradient boosting,0.916,Gradient boosting (0.916)
0,0.19047619047619047,Gradient boosting,0.916,Gradient boosting (0.916)
0,0.20238095238095238,Gradient boosting,0.916,Gradient boosting (0.916)
0,0.21428571428571427,Gradient boosting,0.916,Gradient boosting (0.916)
0,0.2261904761904762,Gradient boosting,0.916,Gradient boosting (0.916)
0,0.25,Gradient boosting,0.916,Gradient boosting (0.916)
0,0.2619047619047619,Gradient boosting,0.916,Gradient boosting (0.916)
0,0.2857142857142857,Gradient boosting,0.916,Gradient boosting (0.916)
0,0.2976190476190476,Gradient boosting,0.916,Gradient boosting (0.916)
0,0.30952380952380953,Gradient boosting,0.916,Gradient boosting (0.916)
0,0.32142857142857145,Gradient boosting,0.916,Gradient boosting (0.916)
0,0.3333333333333333,Gradient boosting,0.916,Gradient boosting (0.916)
0,0.34523809523809523,Gradient boosting,0.916,Gradient boosting (0.916)
0,0.35714285714285715,Gradient boosting,0.916,Gradient boosting (0.916)
0,0.36904761904761907,Gradient boosting,0.916,Gradient boosting (0.916)
0,0.38095238095238093,Gradient boosting,0.916,Gradient boosting (0.916)
0,0.39285714285714285,Gradient boosting,0.916,Gradient boosting (0.916)
0,0.40476190476190477,Gradient boosting,0.916,Gradient boosting (0.916)
0,0.4166666666666667,Gradient boosting,0.916,Gradient boosting (0.916)
0,0.44047619047619047,Gradient boosting,0.916,Gradient boosting (0.916)
0,0.4523809523809524,Gradient boosting,0.916,Gradient boosting (0.916)
0,0.47619047619047616,Gradient boosting,0.916,Gradient boosting (0.916)
0,0.4880952380952381,Gradient boosting,0.916,Gradient boosting (0.916)
0,0.5,Gradient boosting,0.916,Gradient boosting (0.916)
0,0.5119047619047619,Gradient boosting,0.916,Gradient boosting (0.916)
0,0.5238095238095238,Gradient boosting,0.916,Gradient boosting (0.916)
0,0.5357142857142857,Gradient boosting,0.916,Gradient boosting (0.916)
0,0.5476190476190477,Gradient boosting,0.916,Gradient boosting (0.916)
0,0.5595238095238095,Gradient boosting,0.916,Gradient boosting (0.916)
0,0.5714285714285714,Gradient boosting,0.916,Gradient boosting (0.916)
0,0.5833333333333334,Gradient boosting,0.916,Gradient boosting (0.916)
0,0.5952380952380952,Gradient boosting,0.916,Gradient boosting (0.916)
0,0.6071428571428571,Gradient boosting,0.916,Gradient boosting (0.916)
0,0.6190476190476191,Gradient boosting,0.916,Gradient boosting (0.916)
0,0.6309523809523809,Gradient boosting,0.916,Gradient boosting (0.916)
0,0.6428571428571429,Gradient boosting,0.916,Gradient boosting (0.916)
0,0.6547619047619048,Gradient boosting,0.916,Gradient boosting (0.916)
0,0.6666666666666666,Gradient boosting,0.916,Gradient boosting (0.916)
0,0.6785714285714286,Gradient boosting,0.916,Gradient boosting (0.916)
0,0.6904761904761905,Gradient boosting,0.916,Gradient boosting (0.916)
0,0.7023809523809523,Gradient boosting,0.916,Gradient boosting (0.916)
0,0.7142857142857143,Gradient boosting,0.916,Gradient boosting (0.916)
0,0.7261904761904762,Gradient boosting,0.916,Gradient boosting (0.916)
0,0.7380952380952381,Gradient boosting,0.916,Gradient boosting (0.916)
0,0.75,Gradient boosting,0.916,Gradient boosting (0.916)
0.047619047619047616,0.75,Gradient boosting,0.916,Gradient boosting (0.916)
0.047619047619047616,0.7619047619047619,Gradient boosting,0.916,Gradient boosting (0.916)
0.047619047619047616,0.7738095238095238,Gradient boosting,0.916,Gradient boosting (0.916)
0.09523809523809523,0.7738095238095238,Gradient boosting,0.916,Gradient boosting (0.916)
0.09523809523809523,0.7857142857142857,Gradient boosting,0.916,Gradient boosting (0.916)
0.09523809523809523,0.7976190476190477,Gradient boosting,0.916,Gradient boosting (0.916)
0.09523809523809523,0.8095238095238095,Gradient boosting,0.916,Gradient boosting (0.916)
0.14285714285714285,0.8095238095238095,Gradient boosting,0.916,Gradient boosting (0.916)
0.14285714285714285,0.8214285714285714,Gradient boosting,0.916,Gradient boosting (0.916)
0.19047619047619047,0.8214285714285714,Gradient boosting,0.916,Gradient boosting (0.916)
0.23809523809523808,0.8214285714285714,Gradient boosting,0.916,Gradient boosting (0.916)
0.23809523809523808,0.8333333333333334,Gradient boosting,0.916,Gradient boosting (0.916)
0.23809523809523808,0.8452380952380952,Gradient boosting,0.916,Gradient boosting (0.916)
0.2857142857142857,0.8452380952380952,Gradient boosting,0.916,Gradient boosting (0.916)
0.3333333333333333,0.8452380952380952,Gradient boosting,0.916,Gradient boosting (0.916)
0.38095238095238093,0.8452380952380952,Gradient boosting,0.916,Gradient boosting (0.916)
0.38095238095238093,0.8571428571428571,Gradient boosting,0.916,Gradient boosting (0.916)
0.38095238095238093,0.8690476190476191,Gradient boosting,0.916,Gradient boosting (0.916)
0.38095238095238093,0.8809523809523809,Gradient boosting,0.916,Gradient boosting (0.916)
0.38095238095238093,0.8928571428571429,Gradient boosting,0.916,Gradient boosting (0.916)
0.42857142857142855,0.8928571428571429,Gradient boosting,0.916,Gradient boosting (0.916)
0.47619047619047616,0.8928571428571429,Gradient boosting,0.916,Gradient boosting (0.916)
0.47619047619047616,0.9047619047619048,Gradient boosting,0.916,Gradient boosting (0.916)
0.47619047619047616,0.9166666666666666,Gradient boosting,0.916,Gradient boosting (0.916)
0.47619047619047616,0.9285714285714286,Gradient boosting,0.916,Gradient boosting (0.916)
0.47619047619047616,0.9404761904761905,Gradient boosting,0.916,Gradient boosting (0.916)
0.47619047619047616,0.9523809523809523,Gradient boosting,0.916,Gradient boosting (0.916)
0.47619047619047616,0.9642857142857143,Gradient boosting,0.916,Gradient boosting (0.916)
0.47619047619047616,0.9761904761904762,Gradient boosting,0.916,Gradient boosting (0.916)
0.5238095238095238,0.9761904761904762,Gradient boosting,0.916,Gradient boosting (0.916)
0.5714285714285714,0.9761904761904762,Gradient boosting,0.916,Gradient boosting (0.916)
0.6190476190476191,0.9761904761904762,Gradient boosting,0.916,Gradient boosting (0.916)
0.6666666666666666,0.9761904761904762,Gradient boosting,0.916,Gradient boosting (0.916)
0.6666666666666666,0.9880952380952381,Gradient boosting,0.916,Gradient boosting (0.916)
0.7142857142857143,0.9880952380952381,Gradient boosting,0.916,Gradient boosting (0.916)
0.7619047619047619,0.9880952380952381,Gradient boosting,0.916,Gradient boosting (0.916)
0.7619047619047619,1,Gradient boosting,0.916,Gradient boosting (0.916)
0.8095238095238095,1,Gradient boosting,0.916,Gradient boosting (0.916)
0.8571428571428571,1,Gradient boosting,0.916,Gradient boosting (0.916)
0.9047619047619048,1,Gradient boosting,0.916,Gradient boosting (0.916)
0.9523809523809523,1,Gradient boosting,0.916,Gradient boosting (0.916)
1,1,Gradient boosting,0.916,Gradient boosting (0.916)
0,0,Lasso,0.911,Lasso (0.911)
0,0.011904761904761904,Lasso,0.911,Lasso (0.911)
0,0.023809523809523808,Lasso,0.911,Lasso (0.911)
0,0.03571428571428571,Lasso,0.911,Lasso (0.911)
0,0.047619047619047616,Lasso,0.911,Lasso (0.911)
0,0.05952380952380952,Lasso,0.911,Lasso (0.911)
0,0.07142857142857142,Lasso,0.911,Lasso (0.911)
0,0.08333333333333333,Lasso,0.911,Lasso (0.911)
0,0.09523809523809523,Lasso,0.911,Lasso (0.911)
0,0.10714285714285714,Lasso,0.911,Lasso (0.911)
0,0.11904761904761904,Lasso,0.911,Lasso (0.911)
0,0.13095238095238096,Lasso,0.911,Lasso (0.911)
0,0.14285714285714285,Lasso,0.911,Lasso (0.911)
0,0.15476190476190477,Lasso,0.911,Lasso (0.911)
0,0.16666666666666666,Lasso,0.911,Lasso (0.911)
0,0.17857142857142858,Lasso,0.911,Lasso (0.911)
0,0.19047619047619047,Lasso,0.911,Lasso (0.911)
0,0.21428571428571427,Lasso,0.911,Lasso (0.911)
0,0.2261904761904762,Lasso,0.911,Lasso (0.911)
0,0.25,Lasso,0.911,Lasso (0.911)
0,0.2619047619047619,Lasso,0.911,Lasso (0.911)
0,0.27380952380952384,Lasso,0.911,Lasso (0.911)
0,0.2857142857142857,Lasso,0.911,Lasso (0.911)
0,0.2976190476190476,Lasso,0.911,Lasso (0.911)
