lower,estimate,upper,metric,model
0.7714285714285715,0.8428571428571429,0.905,Accuracy,Decision trees
0.7890109890109891,0.8778918345705196,0.938794025674786,AUCROC,Decision trees
0.20490057331410616,0.3107434106697744,0.4056663980849254,AUCRecall,Decision trees
0.8648807892573308,0.9195402298850575,0.965126303127506,Sens,Decision trees
0.3181818181818182,0.5384615384615384,0.7409722222222223,Spec,Decision trees
0.8181573802541544,0.8913043478260869,0.94453125,Precision,Decision trees
0.8648807892573308,0.9195402298850575,0.965126303127506,Recall,Decision trees
0.8570160608622147,0.9018474441799842,0.9445327552986512,F,Decision trees
0.7619047619047619,0.8476190476190476,0.8954761904761905,Accuracy,Elastic net
0.8621186475242679,0.9142217448777263,0.9565895721925134,AUCROC,Elastic net
0.9259326778137696,0.9597474096025518,0.9777130602693239,AUCRecall,Elastic net
0.8763334624822421,0.9318181818181818,0.9770180250783699,Sens,Elastic net
0.31558704453441294,0.4759725400457666,0.6666666666666666,Spec,Elastic net
0.8089344994892748,0.8809523809523809,0.9333516483516484,Precision,Elastic net
0.8763334624822421,0.9318181818181818,0.9770180250783699,Recall,Elastic net
0.8466257668711656,0.9058823529411766,0.9399729880774964,F,Elastic net
0.8285714285714286,0.8857142857142857,0.9428571428571428,Accuracy,Gradient boosting
0.8665203614788948,0.9161550344854992,0.9591646266829865,AUCROC,Gradient boosting
0.9287006857557704,0.9629351213370712,0.9788724201855075,AUCRecall,Gradient boosting
0.9374320652173913,0.9761904761904762,1,Sens,Gradient boosting
0.3328947368421053,0.5278637770897833,0.7275119617224881,Spec,Gradient boosting
0.8260869565217391,0.8963702749140894,0.9540360501567398,Precision,Gradient boosting
0.9374320652173913,0.9761904761904762,1,Recall,Gradient boosting
0.8940504201680671,0.9333333333333332,0.9670592705167174,F,Gradient boosting
0.7711904761904762,0.8380952380952381,0.8952380952380953,Accuracy,Lasso
0.852588813303099,0.9114020616697993,0.953514799154334,AUCROC,Lasso
0.9281782827285026,0.9606130218263998,0.9788626373867237,AUCRecall,Lasso
0.8648057432432432,0.9302325581395349,0.9871875000000001,Sens,Lasso
0.26306042884990255,0.46153846153846156,0.6666666666666666,Spec,Lasso
0.7998795180722892,0.8678008738249703,0.9311281859070465,Precision,Lasso
0.8648057432432432,0.9302325581395349,0.9871875000000001,Recall,Lasso
0.8517580872011252,0.8994082840236686,0.9364268329783997,F,Lasso
0.7426190476190477,0.8285714285714286,0.885952380952381,Accuracy,Multi-layer neural network
0.8100301484230055,0.8756470588235294,0.9330199240986718,AUCROC,Multi-layer neural network
0.917715663841332,0.9523787147009657,0.9742776330264385,AUCRecall,Multi-layer neural network
0.873450328407225,0.9317829457364342,0.9761974789915966,Sens,Multi-layer neural network
0.19962962962962966,0.38799283154121866,0.562860576923077,Spec,Multi-layer neural network
0.7741095430107526,0.8626134301270417,0.9247707979626485,Precision,Multi-layer neural network
0.873450328407225,0.9317829457364342,0.9761974789915966,Recall,Multi-layer neural network
0.8372093023255814,0.8973484848484848,0.9349265569917744,F,Multi-layer neural network
0.8,0.8761904761904762,0.9333333333333333,Accuracy,Naive bayes
0.8688033792925713,0.9317914438502674,0.9749149659863946,AUCROC,Naive bayes
0.9298017517650704,0.9632996805260492,0.9817817476007287,AUCRecall,Naive bayes
0.8794745649263721,0.9285714285714286,0.9767508687516707,Sens,Naive bayes
0.4,0.6666666666666666,0.8573809523809524,Spec,Naive bayes
